DisplayIndex=1
Millinits,DBV
2931,1
3073,2
3215,3
3358,4
3500,5
3642,6
3785,7
3927,8
4069,9
4212,10
4354,11
4497,12
4639,13
4782,14
4924,15
5067,16
5638,20
6066,23
6638,27
7209,31
7782,35
8355,39
9071,44
9789,49
10363,53
11081,58
11801,63
12689,68
13401,72
14291,77
15003,81
15894,86
16786,91
17679,96
18572,101
19466,106
20540,112
21436,117
22511,123
23409,128
24486,134
25565,140
26644,146
27725,152
28807,158
30070,165
31154,171
32420,178
33688,185
34775,191
36130,196
37487,201
38572,205
39929,210
41287,215
42645,220
44004,225
45364,230
46724,235
48357,241
49718,246
51080,251
52716,257
54079,262
55716,268
57353,274
58719,279
60358,285
61998,291
63639,297
65281,303
66923,309
68567,315
70364,321
72075,325
73788,329
75500,333
77214,337
78929,341
81074,346
82791,350
84509,354
86658,359
88378,363
90099,367
92252,372
93975,376
96130,381
97856,385
100014,390
102173,395
103902,399
106064,404
108227,409
110392,414
112126,418
114293,423
116463,428
118633,433
120805,438
122979,443
125154,448
127546,453
129576,457
132117,462
134151,466
136696,471
138735,475
141285,480
143327,484
145882,489
148441,494
150489,498
153052,503
155618,508
158187,513
160244,517
162817,522
165394,527
167973,532
170555,537
173140,542
175728,547
178318,552
180911,557
183507,562
186106,567
188708,572
191312,577
193919,582
196509,586
199268,590
202030,594
204795,598
207561,602
210331,606
213102,610
215876,614
218652,618
221431,622
224908,627
227692,631
230478,635
233267,639
236058,643
238852,647
242347,652
245146,656
247948,660
251453,665
254260,669
257069,673
259880,677
263398,682
266215,686
269740,691
272562,695
275478,699
278672,703
281870,707
285072,711
288279,715
291490,719
294706,723
297926,727
301150,731
304379,735
308422,740
311660,744
314904,748
318151,752
321404,756
324660,760
327921,764
332004,769
335275,773
338550,777
341830,781
345114,785
349225,790
352520,794
355818,798
359121,802
363256,807
366569,811
369886,815
374300,819
377882,822
381463,825
385043,828
388622,831
392199,834
395775,837
399350,840
402924,843
406496,846
411258,850
414827,853
418396,856
421963,859
425529,862
429094,865
433845,869
437407,872
440967,875
445713,879
449271,882
452827,885
456383,888
461121,892
464674,895
468225,898
472958,902
476506,905
481236,909
484781,912
488326,915
493049,919
496591,922
501311,926
504850,929
509566,933
513102,936
517147,939
522212,942
525588,944
530648,947
534021,949
539077,952
542447,954
547499,957
552548,960
555913,962
560958,965
564320,967
569361,970
572720,972
577756,975
582790,978
586144,980
591174,983
594525,985
599550,988
604572,991
607919,993
612937,996
617952,999
622965,1002
626305,1004
631313,1007
636319,1010
639655,1012
644656,1015
649654,1018
654650,1021
657980,1023
